Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
POL,1991-01-01,1991-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,1590000.000000,A
POL,1992-01-01,1992-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,1350000.000000,A
POL,1993-01-01,1993-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,960000.000000,A
POL,1994-01-01,1994-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,1830000.000000,A
POL,1995-01-01,1995-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,409.000000,A
POL,1996-01-01,1996-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,266.000000,A
POL,1997-01-01,1997-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,241.000000,A
POL,1998-01-01,1998-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,276.000000,A
POL,1999-01-01,1999-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,657.000000,A
POL,2000-01-01,2000-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,256.000000,A
POL,2001-01-01,2001-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,201.000000,A
POL,2002-01-01,2002-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,231.000000,A
POL,2003-01-01,2003-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,426.000000,A
POL,2004-01-01,2004-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,326.000000,A
POL,2005-01-01,2005-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,517.000000,A
POL,2006-01-01,2006-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,480.000000,A
POL,2007-01-01,2007-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,999.000000,A
POL,2008-01-01,2008-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,408.000000,A
POL,2009-01-01,2009-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,319.000000,A
POL,2010-01-01,2010-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,639.000000,A
POL,2011-01-01,2011-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,846.000000,A
POL,2012-01-01,2012-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,730.000000,A
POL,2013-01-01,2013-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,895.000000,A
POL,2014-01-01,2014-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7021,Annual value,LCU,529.000000,A
POL,2015-01-01,2015-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7021,Annual value,LCU,778.000000,A
POL,2016-01-01,2016-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7021,Annual value,LCU,586.000000,A
POL,2017-01-01,2017-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7021,Annual value,LCU,1038.000000,A
POL,2018-01-01,2018-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7021,Annual value,LCU,619.000000,A
POL,2019-01-01,2019-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7021,Annual value,LCU,660.000000,A
POL,2020-01-01,2020-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7021,Annual value,LCU,926.000000,A
POL,2021-01-01,2021-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2021,2021,7021,Annual value,LCU,631.000000,A
POL,2022-01-01,2022-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2022,2022,7021,Annual value,LCU,648.000000,A
POL,2023-01-01,2023-12-31,173,'616,Poland,515,'01341,Apples,5530,Producer Price (LCU/tonne),2023,2023,7021,Annual value,LCU,865.000000,A
POL,1991-01-01,1991-12-31,173,'616,Poland,515,'01341,Apples,5531,Producer Price (SLC/tonne),1991,1991,7021,Annual value,SLC,159.000000,A
POL,1992-01-01,1992-12-31,173,'616,Poland,515,'01341,Apples,5531,Producer Price (SLC/tonne),1992,1992,7021,Annual value,SLC,135.000000,A
POL,1993-01-01,1993-12-31,173,'616,Poland,515,'01341,Apples,5531,Producer Price (SLC/tonne),1993,1993,7021,Annual value,SLC,96.000000,A
POL,1994-01-01,1994-12-31,173,'616,Poland,515,'01341,Apples,5531,Producer Price (SLC/tonne),1994,1994,7021,Annual value,SLC,183.000000,A
POL,1995-01-01,1995-12-31,173,'616,Poland,515,'01341,Apples,5531,Producer Price (SLC/tonne),1995,1995,7021,Annual value,SLC,409.000000,A
POL,1996-01-01,1996-12-31,173,'616,Poland,515,'01341,Apples,5531,Producer Price (SLC/tonne),1996,1996,7021,Annual value,SLC,266.000000,A
POL,1997-01-01,1997-12-31,173,'616,Poland,515,'01341,Apples,5531,Producer Price (SLC/tonne),1997,1997,7021,Annual value,SLC,241.000000,A
POL,1998-01-01,1998-12-31,173,'616,Poland,515,'01341,Apples,5531,Producer Price (SLC/tonne),1998,1998,7021,Annual value,SLC,276.000000,A
