kod_stacji,nazwa_stacji,lon,lat,stan,stan_data,przelyw,przeplyw_data
150160330,SZCZYTNA,16.443056,50.415556,133,2025-03-31 09:20:00,,
150160340,SARNY,16.465833,50.547778,74,2025-03-31 09:20:00,,
150160350,SZALEJÓW GÓRNY,16.537222,50.418333,120,2025-03-31 09:20:00,,
150160360,STARKÓW,16.58,50.3775,156,2025-03-31 09:20:00,,
150160370,TOPOLICE,16.609167,50.366944,141,2025-03-31 09:20:00,,
150160380,KROSNOWICE,16.628611,50.383611,116,2025-03-31 09:20:00,,
150160390,ROZTOKI BYSTRZYCKIE,16.672222,50.190833,110,2025-03-31 09:20:00,,
150160410,GAJNIK,16.703889,50.193611,73,2025-03-31 09:20:00,,
150160420,GOWORÓW,16.711944,50.178889,64,2025-03-31 09:20:00,,
150169999,SĘDZISŁAW,16.045278,50.819444,54,2025-03-31 09:20:00,,
150170080,JARNOŁTÓWEK,17.428056,50.285833,68,2025-03-31 09:20:00,0,2025-03-31 09:20:00
150170320,MALERZOWICE WIELKIE,17.474444,50.584444,107,2025-03-31 09:20:00,11,2025-03-31 09:20:00
150180090,NĘDZA,18.310556,50.157778,45,2025-03-31 09:20:00,0,2025-03-31 09:20:00
150180140,RYBNIK,18.533056,50.1025,72,2025-03-31 09:20:00,0,2025-03-31 09:20:00
150180230,WESOŁA,18.69,50.561667,127,2025-03-31 09:20:00,1,2025-03-31 09:20:00
150180250,KŁODNICA,18.864167,50.236667,124,2025-03-31 09:20:00,1,2025-03-31 09:20:00
150180300,TYCHY,18.977778,50.086667,146,2025-03-31 09:20:00,,
150180310,BOBROWNIKI,18.963056,50.374444,154,2025-03-31 09:20:00,,
150180330,RYBNIK-PARUSZOWIEC,18.557222,50.11,55,2025-03-31 09:20:00,,
150190220,MSTÓW,19.288889,50.831111,67,2025-03-31 09:20:00,3,2025-03-31 09:20:00
150190240,KRĘCIWILK,19.370278,50.545278,20,2025-03-31 09:20:00,1,2025-03-31 09:20:00
150190250,SŁAWKÓW,19.398889,50.299722,185,2025-03-31 09:20:00,1,2025-03-31 09:20:00
150190270,GOLCZOWICE,19.6025,50.361389,94,2025-03-31 09:20:00,,
150190390,CZĘSTOCHOWA 1,19.125,50.795833,104,2025-03-31 09:20:00,,
150190400,CZĘSTOCHOWA 2,19.154167,50.806111,161,2025-03-31 09:20:00,,
150190410,CZĘSTOCHOWA 3,19.132778,50.813889,119,2025-03-31 09:20:00,,
150190440,SŁOWIK,19.183889,50.748333,86,2025-03-31 09:20:00,,
150190450,NOWA KUŹNICA,19.216111,50.620556,102,2025-03-31 09:20:00,,
150190460,MASŁOŃSKIE,19.253333,50.649167,147,2025-03-31 09:20:00,,
150190470,DĄBEK,19.444167,50.849444,177,2025-03-31 09:20:00,,
150190480,KRAKÓW-ŁAGIEWNIKI,19.937778,50.011944,106,2025-03-31 09:20:00,,
150200200,WIŚLICA 2,20.6725,50.340556,176,2025-03-31 09:20:00,,
150210050,WILKOWA,21.165833,50.4625,109,2025-03-31 09:20:00,1,2025-03-31 09:20:00
150210180,ANNOPOL,21.832222,50.899167,209,2025-03-31 09:20:00,237,2025-03-31 09:20:00
151140170,JANISZOWICE,14.653611,51.778611,72,2024-09-07 01:20:00,,
151140190,GUBIN,14.734444,51.941944,118,2025-03-31 09:20:00,,
151140200,SANICE,14.9675,51.417222,112,2025-03-31 09:20:00,,
151180190,GRABÓW NAD PROSNĄ,18.124167,51.51,206,2025-03-31 09:20:00,,
151180200,KUŚNIE,18.680833,51.535,115,2025-03-31 09:20:00,,
151180210,SMARDZEW,18.655556,51.596944,143,2025-03-31 09:20:00,,
151190130,KAZIMIERZ,19.2025,51.766111,209,2025-03-31 09:20:00,,
151210070,CYGANÓWKA,21.450278,51.861944,120,2025-03-31 09:20:00,1,2025-03-31 09:20:00
151220040,WITOWICE,22.086111,51.409167,243,2025-03-31 09:20:00,1,2025-03-31 09:20:00
